gene1,gene2,p_value,statistic,depletion_p_value,q_value,SR_DD_p_value,SR_DD_q_value,depletion_q_value,SR_DD_depletion_p_value,SR_DD_depletion_q_value,survival_coef,survival_p_value,survival_q_value,phylo_coefficient
EGFR,ZNF689,2.7072261811193102e-24,79857,3.620547095046891e-16,8.027931168171744e-21,1,1,4.359499917111835e-13,0.9999999999999996,1,-0.17967001453599765,4.050777169821345e-8,2.6146650953477146e-7,5.922678516348054
EGFR,RBM10,2.7383108411019383e-24,80076,2.294305464827591e-12,8.073971749326364e-21,1,1,9.65668146119367e-10,0.9999999999977056,1,-0.26058984490106124,0.02906773755698232,0.05773217210975664,3.68659173850073
EGFR,TBC1D24,2.8449497984159413e-24,79845,6.943766660703115e-11,8.341007053050669e-21,1,1,1.897622829175943e-8,0.9999999999305624,1,-0.28950807004434825,1.602808762196476e-5,6.394145798778518e-5,1.975610408735238
EGFR,CNPY4,3.1847651814300186e-24,79596,1.995576701650454e-4,9.232972308666452e-21,1,1,0.00672317874659459,0.999800442329835,1,-0.19589403205974698,8.617649162745623e-6,3.62351875386863e-5,6.9433352880123085
EGFR,VASH1,3.5905544639841755e-24,80675,1.4708145864703598e-4,1.0237815019450264e-20,1,1,0.00526198975249388,0.9998529185413528,1,-0.22725157061423676,7.886374175928505e-4,0.0022394127631626,2.911948121311627
EGFR,ZFP82,3.8296671468257166e-24,79773,1.1799264442605677e-7,1.080091015855292e-20,1,1,1.206063407137747e-5,0.9999998820073556,1,-0.16102001156129986,0.8441779932546091,1,5.632559437272697
EGFR,DYNC1LI1,4.628506491586806e-24,79727,6.291092254588461e-5,1.277615509970243e-20,1,1,0.00256732662899033,0.9999370890774542,1,-0.1766864231090234,0.7911523133742895,0.9892907186680112,3.3039353418270228
EGFR,RAD17,4.783382750288236e-24,79719,8.999709829143457e-12,1.31338023515057e-20,1,1,3.1515198454123433e-9,0.9999999999910004,1,-0.09434312194533927,0.9938302208031312,1,3.527738713969951
EGFR,PRKD3,6.15380788598181e-24,79879,0.00115718175965297,1.6632588876830212e-20,1,1,0.02864757650440419,0.998842818240347,1,-0.2859845958682825,1.4897374859420002e-15,3.4997648089104865e-14,6.52609013469503
EGFR,ZEB2,6.83001956609216e-24,80296,1.7497149672425497e-4,1.8269950276432294e-20,1,1,0.00608445676363551,0.9998250285032756,1,-0.155722286474144,3.8131243263736e-8,2.473397760165029e-7,3.419374721649441
EGFR,UBL7,8.081780792667826e-24,79370,4.2356648940833796e-12,2.1268676665488992e-20,1,1,1.5940321269672003e-9,0.9999999999957644,1,-0.18923534527798125,0.11310577236462133,0.1913460578723381,7.797742188059614
EGFR,POLR1E,8.524331102672124e-24,79357,9.257299455265712e-11,2.2208947801689952e-20,1,1,2.403318122261573e-8,0.999999999907427,1,-0.2032252576620344,0.00275622134305925,0.00696010009687528,6.827031989648331
EGFR,BEND5,1.044886263187963e-23,82630,8.603319428311746e-11,2.684323155538423e-20,1,1,2.3278617694226605e-8,0.9999999999139668,1,0.09106463222274185,0.06216015254712016,0.11314778306234796,3.6844753617593873
EGFR,ZNF582,1.0834419396744704e-23,81735,1.8467929245748956e-14,2.7696618727816244e-20,1,1,1.4353447943539176e-11,0.9999999999999816,1,-0.10726519188215351,0.5998676104186116,0.7920064129473331,8.715813202207494
EGFR,INTS9,1.1169266307108331e-23,79512,1.0600468989892598e-14,2.841264243828822e-20,1,1,9.033322808337592e-12,0.9999999999999896,1,-0.07171686275284737,8.74756597095729e-6,3.674006754203913e-5,7.514950702183548
EGFR,ZNF708,1.2725878125901227e-23,79480,1.7343128010751531e-18,3.221447412026919e-20,1,1,3.765904231947988e-15,1,1,-0.06836973885488987,0.05290244733797215,0.09812780116331545,5.133891474206191
EGFR,ENTPD1,1.2934291213342759e-23,80362,1.7169947838236094e-24,3.258311204976743e-20,1,1,1.65011783699368e-20,1,1,0.019035770880793786,9.878114686163965e-5,3.377192495565093e-4,4.546601267930861
EGFR,VIM,1.3098664855404199e-23,79252,1.1702847343661649e-6,3.2837783285330706e-20,1,1,8.760120550119796e-5,0.9999988297152655,1,-0.17004392842609153,1.1713679679464052e-4,3.9461134369394777e-4,2.339552794313791
EGFR,FBXO43,1.3189136109020803e-23,79913,1.6186201587918035e-9,3.290562640584257e-20,1,1,2.9076166422558186e-7,0.99999999838138,1,-0.2945869732305088,1.9211720515213763e-11,2.2361782662010592e-10,10.180109732683473
