index,PIK3CA-0001,PIK3CA-0002,PIK3CA-0003,PIK3CA-0004,PIK3CA-0036,PIK3CA-0047,PIK3CA-1020,PIK3CA-1033,PIK3CA-1038,PIK3CA-1045,PIK3CA-1052,PIK3CA-1268,PIK3CA-1458,PIK3CA-1588,PIK3CA-2179,PIK3CA-1039,PIK3CA-1676,PIK3CA-1035,PIK3CA-1113
ABI3BP,38.55,0,3.59,26.7,14.26,206.05,1.28,18.01,0,16.44,0,19.45,144.02,47.71,23.67,0,0.499497831,4.744528995,1.429153116
ABITRAM,15.61,0,1.46,4.16,0.6,0.97,14.68,1.49,5.63,1.76,0,1.7,2.5,1.82,1.32,0,2.171678095,7.056912047,2.273254225
ABITRAMP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABL1,12.1,6.19,13.18,3.31,4.8,7.83,2.59,3.17,6.32,4.73,4.15,11.79,3.41,7.67,3.94,0,7.33263298,6.705564449,9.869231616
ABL2,12.28,5.71,3.78,5.98,3.95,16.2,2.02,2.11,7.66,1.65,11.05,4.8,6.49,3.41,3.73,0.348943282,3.664807509,7.200073237,3.462300536
ABLIM1,19.73,5.59,3.92,4.96,15.68,12.99,4.68,7.26,8.31,18.21,0,6.29,1.79,12.03,4.15,6.261231429,3.009665684,9.645997535,6.956855614
ABLIM2,3.27,0,0,3.05,7.15,4.42,0,1.24,0,3.9,0,1.49,0.87,1.84,0.84,0,0.522987321,1.963818033,1.138694049
ABLIM3,5.19,35.17,1.61,0.57,1.96,2.34,18.79,3.48,7.09,3.14,0,2.76,2.82,12.65,3.32,0.806022759,5.166767276,8.15761752,12.8172733
ABO,2.01,31.56,0.7,0.43,2.13,0.46,4.7,1.29,0.22,1.01,0,1.87,2,1.96,2.64,0,0.162809444,10.08726942,0.472644077
ABR,23.22,0,36.87,34.77,8.92,67,41.83,38.86,32.92,19.12,0,23.69,82.12,20.95,24.82,2.811933574,5.142742323,7.721459993,6.189888677
ABRA,0,0,0,0,1.14,0,0,0,0,0.27,0,0.47,0.47,0,0,0,0,0.829502212,0.138948606
ABRACL,3.19,0,0,42.8,2.08,60.95,0,0.61,0,12.06,0,2.72,3.58,0.85,4.17,0,5.008259054,4.42021812,3.702118798
ABRAXAS1,2.83,0,1.61,1.94,1.26,4.96,0.59,2.33,2.52,3.13,0,1.5,1.57,2.08,0.98,0,0.575265674,1.42425713,1.6899067
ABRAXAS2,8.25,0,1.87,4,1.78,2.03,2.56,0.59,2.21,2.82,0,3.34,1.31,2.12,0.62,0,3.568584662,2.937701032,4.532404786
ABT1,0.26,8.11,1.03,1.63,0.64,2.06,11.27,0.3,0,1,3.29,1.97,0.22,1.29,0.63,0,3.0814965,3.104925711,2.080404818
ABT1P1,0,0,0,0,0,0,0,0,0,0.52,0,0.94,0,0,0,0,0.770657808,0,0
ABTB1,21.68,0,1.53,10.09,2.56,11.47,8.52,9.8,14.93,5.24,7.29,5.14,4.77,9.18,2.28,12.29986801,3.323740908,3.934225894,4.414163566
ABTB2,0.31,4.79,0.91,1.84,0.38,1.41,1.02,3.91,0.88,0.29,0.98,0.32,2.08,1.24,2.76,0,0.508609373,6.519127233,4.614121317
ACAA1,14.81,116.69,13.03,14.24,2.79,0.63,6.37,5.24,12.36,15.59,0,7.11,12.68,12.74,4.26,1.639041495,2.315010072,13.88801024,11.2009862
ACAA2,18.99,44.86,3.58,11.94,3.05,5.31,0,3.78,7.44,1.85,0,4.85,2.57,1.59,2.63,0,2.229059834,27.76627149,5.833299714
ACACA,5.63,0,14.54,21.79,15.62,12.72,7.66,10.41,10.43,11.98,1.8,14.15,46.52,28.8,6.13,2.236029194,8.30851024,7.192628842,5.642111546
ACACB,33.2,238.39,158.81,5.27,4.82,27.56,19.1,18.1,8.68,3.85,90.68,16.5,13.21,6.19,17.81,7.226698365,1.861125767,11.65454897,15.16939436
ACAD10,47.35,0,17.96,6.44,3.86,17.24,1.67,7.97,15.18,10.38,12.89,7.53,6.05,5.81,3.2,0,2.289861796,7.466522665,4.625896778
ACAD11,5.91,51.92,8.06,6.55,2.36,10.2,0,5.08,10.61,10.34,0,5.8,9.21,6.83,2.93,1.157066249,0.251424622,1.180124705,0.988404132
ACAD8,11.29,0,16.3,4.82,5.17,38.45,5.7,6.52,19.65,4.19,0,6.37,4.76,4.01,3.04,0,1.747408771,5.581998905,3.063035289
ACAD9,20.78,0,27.97,17.2,4.13,5.2,2.78,3.98,5.45,2.27,48.37,9.69,4.4,14.86,6.14,4.037564894,7.603633729,10.1366819,7.517097112
ACADL,0,0,0,0.16,0.61,0,0,0,0,0.83,0,0,5.55,11.96,0.32,0,0.08187242,4.256737439,3.788021646
ACADM,24.44,0,9.82,9.12,9.44,10.93,17.82,3.02,9.45,7.93,0,8.4,0,6.51,7.05,1.217544309,1.014170422,13.08674579,8.160521648
ACADS,0,0,1.07,0,0.62,0,0,0.85,0,0.19,5.03,0.25,1.88,1.33,0.97,0,0.808368545,8.405791984,8.65358498
ACADSB,1.67,7.98,0.42,3.39,0.94,3.01,27.25,1.26,2.56,2.72,1.64,2.35,2.38,3.7,8.95,0.934153743,13.39713314,43.38767605,6.813563554
ACADVL,113.92,270.6,127.67,130.93,52.15,166.11,209.22,144.56,192.8,54.66,16.12,85.14,153.62,51.04,41.61,7.24918809,18.24620299,63.1304189,76.77106515
ACAN,0,0,0,0,0.16,8.14,0,9.22,1.35,0,0.32,9.54,0.08,0,17.72,2.134132637,0.618314916,0.041858893,0.525878783
ACAP1,87.75,0,6.71,25.37,0.69,11.74,0.77,23.47,16.01,28.3,0.98,2.67,6.25,2.72,0.68,0.78484022,1.534876158,2.647744231,3.042749759
