"interaction","name","selected","shared interaction","shared name"
"interacts with","CD151 (interacts with) MED12L","false","interacts with","CD151 (interacts with) MED12L"
"interacts with","CD151 (interacts with) MFSD1","false","interacts with","CD151 (interacts with) MFSD1"
"interacts with","CD151 (interacts with) NCOA1","false","interacts with","CD151 (interacts with) NCOA1"
"interacts with","CD151 (interacts with) NCOA2","false","interacts with","CD151 (interacts with) NCOA2"
"interacts with","CD151 (interacts with) NPHS2","false","interacts with","CD151 (interacts with) NPHS2"
"interacts with","CD151 (interacts with) OR11L1","false","interacts with","CD151 (interacts with) OR11L1"
"interacts with","CD151 (interacts with) OR14A16","false","interacts with","CD151 (interacts with) OR14A16"
"interacts with","CD151 (interacts with) OR1C1","false","interacts with","CD151 (interacts with) OR1C1"
"interacts with","CD151 (interacts with) OR2AK2","false","interacts with","CD151 (interacts with) OR2AK2"
"interacts with","CD151 (interacts with) OR2C3","false","interacts with","CD151 (interacts with) OR2C3"
"interacts with","CD151 (interacts with) OR2F1","false","interacts with","CD151 (interacts with) OR2F1"
"interacts with","CD151 (interacts with) OR2L13","false","interacts with","CD151 (interacts with) OR2L13"
"interacts with","CD151 (interacts with) OR2L8","false","interacts with","CD151 (interacts with) OR2L8"
"interacts with","CD151 (interacts with) OR6F1","false","interacts with","CD151 (interacts with) OR6F1"
"interacts with","CD151 (interacts with) OTUD7B","false","interacts with","CD151 (interacts with) OTUD7B"
"interacts with","CD151 (interacts with) PAX4","false","interacts with","CD151 (interacts with) PAX4"
"interacts with","CD151 (interacts with) PBX1","false","interacts with","CD151 (interacts with) PBX1"
"interacts with","CD151 (interacts with) PCYOX1","false","interacts with","CD151 (interacts with) PCYOX1"
"interacts with","CD151 (interacts with) PFN2","false","interacts with","CD151 (interacts with) PFN2"
"interacts with","CD151 (interacts with) PGBD5","false","interacts with","CD151 (interacts with) PGBD5"
"interacts with","CD151 (interacts with) PIK3CG","false","interacts with","CD151 (interacts with) PIK3CG"
"interacts with","CD151 (interacts with) POU2F1","false","interacts with","CD151 (interacts with) POU2F1"
"interacts with","CD151 (interacts with) PPP2R3A","false","interacts with","CD151 (interacts with) PPP2R3A"
"interacts with","CD151 (interacts with) PRKAB2","false","interacts with","CD151 (interacts with) PRKAB2"
"interacts with","CD151 (interacts with) PRLR","false","interacts with","CD151 (interacts with) PRLR"
"interacts with","CD151 (interacts with) PTPN14","false","interacts with","CD151 (interacts with) PTPN14"
"interacts with","CD151 (interacts with) RASGRP3","false","interacts with","CD151 (interacts with) RASGRP3"
"interacts with","CD151 (interacts with) RGS16","false","interacts with","CD151 (interacts with) RGS16"
"interacts with","CD151 (interacts with) RGS8","false","interacts with","CD151 (interacts with) RGS8"
"interacts with","CD151 (interacts with) ROCK2","false","interacts with","CD151 (interacts with) ROCK2"
"interacts with","CD151 (interacts with) RPS6KC1","false","interacts with","CD151 (interacts with) RPS6KC1"
"interacts with","CD151 (interacts with) SERINC3","false","interacts with","CD151 (interacts with) SERINC3"
"interacts with","CD151 (interacts with) SLC13A4","false","interacts with","CD151 (interacts with) SLC13A4"
"interacts with","CD151 (interacts with) SLC30A1","false","interacts with","CD151 (interacts with) SLC30A1"
"interacts with","CD151 (interacts with) SLC32A1","false","interacts with","CD151 (interacts with) SLC32A1"
"interacts with","CD151 (interacts with) SLC9A2","false","interacts with","CD151 (interacts with) SLC9A2"
"interacts with","CD151 (interacts with) SOAT1","false","interacts with","CD151 (interacts with) SOAT1"
"interacts with","CD151 (interacts with) SOCS5","false","interacts with","CD151 (interacts with) SOCS5"
"interacts with","CD151 (interacts with) SOS1","false","interacts with","CD151 (interacts with) SOS1"
